,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,ID
26429,2003-11-15,Croatia,Slovenia,1,1,UEFA Euro qualification,Zagreb,Croatia,False,2003-11-15-Croatia-Slovenia
26432,2003-11-15,Gabon,Burundi,4,1,FIFA World Cup qualification,Libreville,Gabon,False,2003-11-15-Gabon-Burundi
26434,2003-11-15,Kenya,Tanzania,3,0,FIFA World Cup qualification,Nairobi,Kenya,False,2003-11-15-Kenya-Tanzania
26435,2003-11-15,Latvia,Turkey,1,0,UEFA Euro qualification,Riga,Latvia,False,2003-11-15-Latvia-Turkey
26438,2003-11-15,Namibia,Rwanda,1,1,FIFA World Cup qualification,Windhoek,Namibia,False,2003-11-15-Namibia-Rwanda
26439,2003-11-15,Paraguay,Ecuador,2,1,FIFA World Cup qualification,Asunción,Paraguay,False,2003-11-15-Paraguay-Ecuador
26442,2003-11-15,Scotland,Netherlands,1,0,UEFA Euro qualification,Glasgow,Scotland,False,2003-11-15-Scotland-Netherlands
26444,2003-11-15,Spain,Norway,2,1,UEFA Euro qualification,Valencia,Spain,False,2003-11-15-Spain-Norway
26445,2003-11-15,Uruguay,Chile,2,1,FIFA World Cup qualification,Montevideo,Uruguay,False,2003-11-15-Uruguay-Chile
26446,2003-11-15,Zambia,Seychelles,1,1,FIFA World Cup qualification,Lusaka,Zambia,False,2003-11-15-Zambia-Seychelles
26447,2003-11-16,Angola,Chad,2,0,FIFA World Cup qualification,Luanda,Angola,False,2003-11-16-Angola-Chad
26448,2003-11-16,Benin,Madagascar,3,2,FIFA World Cup qualification,Cotonou,Benin,False,2003-11-16-Benin-Madagascar
26449,2003-11-16,Cape Verde,Eswatini,3,0,FIFA World Cup qualification,Praia,Cape Verde,False,2003-11-16-Cape Verde-Eswatini
26452,2003-11-16,Ghana,Somalia,5,0,FIFA World Cup qualification,Accra,Ghana,False,2003-11-16-Ghana-Somalia
26457,2003-11-16,Liberia,Gambia,3,0,FIFA World Cup qualification,Monrovia,Liberia,False,2003-11-16-Liberia-Gambia
26458,2003-11-16,Libya,São Tomé and Príncipe,8,0,FIFA World Cup qualification,Benghazi,Libya,False,2003-11-16-Libya-São Tomé and Príncipe
26459,2003-11-16,Mauritius,Uganda,3,1,FIFA World Cup qualification,Curepipe,Mauritius,False,2003-11-16-Mauritius-Uganda
26460,2003-11-16,Mozambique,Guinea,3,4,FIFA World Cup qualification,Maputo,Mozambique,False,2003-11-16-Mozambique-Guinea
26461,2003-11-16,Peru,Brazil,1,1,FIFA World Cup qualification,Lima,Peru,False,2003-11-16-Peru-Brazil
26463,2003-11-16,Sierra Leone,Congo,1,1,FIFA World Cup qualification,Freetown,Sierra Leone,False,2003-11-16-Sierra Leone-Congo
26464,2003-11-16,Togo,Equatorial Guinea,2,0,FIFA World Cup qualification,Lomé,Togo,False,2003-11-16-Togo-Equatorial Guinea
26467,2003-11-18,Chile,Paraguay,0,1,FIFA World Cup qualification,Santiago,Chile,False,2003-11-18-Chile-Paraguay
26473,2003-11-18,Venezuela,Bolivia,2,1,FIFA World Cup qualification,Maracaibo,Venezuela,False,2003-11-18-Venezuela-Bolivia
26474,2003-11-19,Brazil,Uruguay,3,3,FIFA World Cup qualification,Curitiba,Brazil,False,2003-11-19-Brazil-Uruguay
26475,2003-11-19,Colombia,Argentina,1,1,FIFA World Cup qualification,Barranquilla,Colombia,False,2003-11-19-Colombia-Argentina
26478,2003-11-19,Ghana,Somalia,2,0,FIFA World Cup qualification,Kumasi,Ghana,False,2003-11-19-Ghana-Somalia
26485,2003-11-19,Netherlands,Scotland,6,0,UEFA Euro qualification,Amsterdam,Netherlands,False,2003-11-19-Netherlands-Scotland
26486,2003-11-19,Norway,Spain,0,3,UEFA Euro qualification,Oslo,Norway,False,2003-11-19-Norway-Spain
26489,2003-11-19,Slovenia,Croatia,0,1,UEFA Euro qualification,Ljubljana,Slovenia,False,2003-11-19-Slovenia-Croatia
26493,2003-11-19,Turkey,Latvia,2,2,UEFA Euro qualification,Istanbul,Turkey,False,2003-11-19-Turkey-Latvia
26494,2003-11-19,Turkmenistan,Afghanistan,11,0,FIFA World Cup qualification,Ashgabat,Turkmenistan,False,2003-11-19-Turkmenistan-Afghanistan
26495,2003-11-19,Wales,Russia,0,1,UEFA Euro qualification,Cardiff,Wales,False,2003-11-19-Wales-Russia
26500,2003-11-23,Afghanistan,Turkmenistan,0,2,FIFA World Cup qualification,Kabul,Afghanistan,False,2003-11-23-Afghanistan-Turkmenistan
26501,2003-11-23,Taiwan,Macau,3,0,FIFA World Cup qualification,Taipei,Taiwan,False,2003-11-23-Taiwan-Macau
26502,2003-11-26,Bangladesh,Tajikistan,0,2,FIFA World Cup qualification,Dhaka,Bangladesh,False,2003-11-26-Bangladesh-Tajikistan
26506,2003-11-29,Macau,Taiwan,1,3,FIFA World Cup qualification,Macau,Macau,False,2003-11-29-Macau-Taiwan
26507,2003-11-29,Mongolia,Maldives,0,1,FIFA World Cup qualification,Ulaanbaatar,Mongolia,False,2003-11-29-Mongolia-Maldives
